moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,genre,genre_label,actor,filmrank,filmrank_label,openingmonth
7광구,2011-08-04,19391653500,2242510,812,47346,domestic,0,major_domestic,0,2242510,sf,7,3,PG 15,0,8
후궁 : 제왕의 첩,2012-06-06,19330302500,2636320,624,69104,domestic,0,major_domestic,0,1520119,romance,10,3,X_rated,3,6
재심,2017-02-15,19266319637,2421197,935,68402,domestic,0,etc_distributor,2,1174004,drama,4,3,PG 15,0,2
위험한 상견례,2011-03-31,19174920500,2595625,524,75068,domestic,0,major_domestic,0,1135495,romance,10,3,PG 15,0,3
나우 유 씨 미 : 마술사기단,2013-08-22,19146691869,2718227,691,54658,abroad,1,major_domestic,0,2718227,crime,5,3,PG 12,1,8
엑스맨: 퍼스트 클래스,2011-06-02,19075363000,2533852,587,56827,abroad,1,etc_distributor,2,4536339,sf,7,3,PG 12,1,6
보스 베이비,2017-05-03,18936306704,2452245,1116,48379,abroad,1,major_domestic,0,1663938,animation,6,3,G_rated,2,5
브레이킹 던 part2,2012-11-15,18909583065,2654817,665,56995,abroad,1,major_domestic,0,1476866,drama,4,3,PG 15,0,11
배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-24,18906246428,2256913,1709,95669,abroad,1,major_abroad,1,1631960,action,2,3,PG 12,1,3
메이즈 러너: 데스 큐어,2018-01-17,18902873104,2299732,1090,58918,abroad,1,etc_distributor,2,2618857,action,2,3,PG 12,1,1
알리타: 배틀 엔젤,2019-02-05,18571455667,1952063,1043,52666,abroad,1,major_abroad,1,1952063,action,2,3,PG 12,1,2
신의 한 수: 귀수편,2019-11-07,18463776050,2157437,1246,82178,domestic,0,major_domestic,0,2862144,crime,5,3,PG 15,0,11
화차,2012-03-08,18459428000,2436438,548,62643,domestic,0,etc_distributor,2,2436438,mystery,9,3,PG 15,0,3
스파이,2015-05-21,18417637358,2318748,665,62960,abroad,1,etc_distributor,2,5866190,action,2,3,PG 12,1,5
테넷,2020-08-26,18396929850,1992214,2228,164758,abroad,1,major_abroad,1,3583005,action,2,3,PG 12,1,8
로건,2017-03-01,18391060223,2169109,954,68709,abroad,1,major_abroad,1,2169109,comedy,0,3,PG 12,1,3
블라인드,2011-08-10,18390012500,2367942,404,49358,domestic,0,major_domestic,0,2367942,drama,4,3,PG 15,0,8
박열,2017-06-28,18093639795,2359206,1176,78499,domestic,0,etc_distributor,2,1424759,drama,4,3,PG 12,1,6
이웃사람,2012-08-22,18088462369,2434269,600,56752,domestic,0,major_domestic,0,2434269,thriller,11,3,X_rated,3,8
모아나,2017-01-12,18056417307,2310206,953,53162,abroad,1,major_abroad,1,2310206,animation,6,3,G_rated,2,1
명당,2018-09-19,17900775524,2087474,1117,58450,domestic,0,etc_distributor,2,1391393,etc,1,3,PG 12,1,9
의뢰인,2011-09-29,17797042500,2393086,522,58414,domestic,0,major_domestic,0,2393086,drama,4,3,PG 15,0,9
가문의 영광4 - 가문의 수난,2011-09-07,17792219500,2368267,537,48432,domestic,0,major_domestic,0,2368267,comedy,0,3,PG 15,0,9
강남 1970,2015-01-21,17718699499,2192276,841,53304,domestic,0,major_domestic,0,1902415,action,2,3,X_rated,3,1
화이: 괴물을 삼킨 아이,2013-10-09,17695412795,2394453,817,59049,domestic,0,major_domestic,0,3842381,action,2,3,X_rated,3,10
장화신은 고양이,2012-01-12,17602643500,2080445,593,45451,abroad,1,major_domestic,0,2080445,animation,6,2,G_rated,2,1
테이큰 2,2012-09-27,17581098553,2308596,682,51344,abroad,1,etc_distributor,2,1589298,action,2,3,X_rated,3,9
007 스카이폴,2012-10-26,17487213000,2376145,748,51357,abroad,1,major_abroad,1,1691307,action,2,3,PG 15,0,10
원더 우먼,2017-05-31,17468588886,2165401,1034,57818,abroad,1,major_abroad,1,1278193,action,2,3,PG 12,1,5
겟 아웃,2017-05-17,17431830075,2138174,945,56530,abroad,1,major_abroad,1,2138174,action,2,2,X_rated,3,5
악의 연대기,2015-05-14,17361815332,2192525,776,64351,domestic,0,major_domestic,0,2192525,crime,5,3,PG 15,0,5
맨 오브 스틸,2013-06-13,17092964063,2182227,998,55514,abroad,1,major_abroad,1,1631960,action,2,3,PG 12,1,6
하녀,2010-05-13,17038639000,2267556,555,59621,domestic,0,etc_distributor,2,2267556,thriller,11,3,X_rated,3,5
협상,2018-09-19,17032133166,1967721,919,57926,domestic,0,major_domestic,0,1967721,crime,5,2,PG 15,0,9
해리 포터와 죽음의 성물1,2010-12-15,16974636000,2396988,717,40463,abroad,1,major_abroad,1,2946451,action,2,3,G_rated,2,12
백두산,2019-12-19,16921016530,1962407,1241,74413,domestic,0,major_domestic,0,1174169,drama,4,3,PG 12,1,12
굿바이 싱글,2016-06-29,16912706195,2108273,841,56380,domestic,0,major_domestic,0,2108273,comedy,0,3,PG 15,0,6
혹성탈출: 종의 전쟁,2017-08-15,16854482778,2051315,1017,44543,abroad,1,etc_distributor,2,3026937,action,2,3,PG 12,1,8
나잇&데이,2010-06-24,16777869600,2243484,494,54797,abroad,1,etc_distributor,2,2243484,comedy,0,1,X_rated,3,6
나의 사랑 나의 신부,2014-10-08,16636404305,2141155,629,69681,domestic,0,etc_distributor,2,2141155,romance,10,2,PG 15,0,10
호빗: 스마우그의 폐허,2013-12-12,16564184549,2115878,811,35223,abroad,1,major_abroad,1,1682629,fantasy,3,3,PG 12,1,12
배틀쉽,2012-04-11,16545921500,2241687,736,53109,abroad,1,major_abroad,1,2241687,action,2,3,PG 12,1,4
루시,2014-09-03,16468076039,1974893,641,44585,abroad,1,major_abroad,1,1974893,sf,7,2,PG 15,0,9
걸리버 여행기,2011-01-27,16441365500,1762071,527,41181,abroad,1,etc_distributor,2,1224440,adventure,8,3,G_rated,2,1
컨저링,2013-09-17,16353225777,2262758,563,48616,abroad,1,major_abroad,1,2262758,fear,12,3,PG 15,0,9
내안의 그놈,2019-01-09,16302228567,1902828,1041,61683,domestic,0,etc_distributor,2,1368505,fantasy,3,3,PG 15,0,1
봉이 김선달,2016-07-06,16227052642,2051277,942,51418,domestic,0,major_domestic,0,2051277,comedy,0,3,PG 12,1,7
인투 더 스톰,2014-08-28,16157166332,2078698,585,45899,abroad,1,major_abroad,1,1167945,action,2,3,PG 12,1,8
뷰티 인사이드,2015-08-20,16148479531,2053435,648,52618,domestic,0,major_domestic,0,2053435,romance,10,3,PG 12,1,8
레버넌트: 죽음에서 돌아온 자,2016-01-14,16107360130,2007188,967,55063,abroad,1,etc_distributor,2,2007188,adventure,8,3,PG 15,0,1
논스톱,2014-02-27,16066549940,2084482,582,58217,abroad,1,major_domestic,0,2084482,action,2,2,PG 15,0,2
토르: 천둥의 신,2011-04-28,15985737000,1694562,496,45188,abroad,1,major_domestic,0,961906,fantasy,3,3,PG 12,1,4
#살아있다,2020-06-24,15968219900,1903992,1882,137073,domestic,0,major_domestic,0,1903992,drama,4,2,PG 15,0,6
수어사이드 스쿼드,2016-08-03,15874111188,1898220,823,29512,abroad,1,major_abroad,1,1898220,action,2,3,X_rated,3,8
라이프 오브 파이,2013-01-01,15812506500,1588373,392,32722,abroad,1,etc_distributor,2,987857,adventure,8,2,G_rated,2,1
마약왕,2018-12-19,15784724552,1813594,1297,41658,domestic,0,major_domestic,0,2977866,crime,5,3,X_rated,3,12
컨저링 2,2016-06-09,15759374229,1928605,640,45816,abroad,1,major_abroad,1,1825151,fear,12,3,PG 15,0,6
내부자들: 디 오리지널,2015-12-31,15742927260,1924720,838,45697,domestic,0,major_domestic,0,2977866,crime,5,3,X_rated,3,12
애나벨 : 인형의 주인,2017-08-10,15527492238,1934270,1006,35103,abroad,1,major_abroad,1,1234282,fear,12,3,PG 15,0,8
노아,2014-03-20,15514373500,2026594,952,56722,abroad,1,major_domestic,0,2026594,animation,6,3,G_rated,2,3
변신,2019-08-21,15417922925,1804112,975,63211,domestic,0,etc_distributor,2,1804112,fear,12,2,PG 15,0,8
초능력자,2010-11-10,15374489000,2130606,612,58000,domestic,0,major_domestic,0,2130606,sf,7,3,PG 15,0,11
쩨쩨한 로맨스,2010-12-01,15338827000,2009586,450,46199,domestic,0,major_domestic,0,2317636,romance,10,2,X_rated,3,12
뺑반,2019-01-30,15224305848,1826912,1285,47215,domestic,0,major_domestic,0,1649509,crime,5,3,PG 15,0,1
테이큰 3,2015-01-01,15088105000,1860934,616,38060,abroad,1,etc_distributor,2,1589298,action,2,3,PG 15,0,1
몽타주,2013-05-16,15002458500,2095592,544,53195,domestic,0,major_domestic,0,2095592,thriller,11,3,PG 15,0,5
이클립스,2010-07-07,14945720000,2069246,535,46355,abroad,1,major_domestic,0,2069246,fantasy,3,3,PG 12,1,7
오늘의 연애,2015-01-14,14924654487,1891993,709,47237,domestic,0,major_domestic,0,1891993,romance,10,3,PG 15,0,1
담보,2020-09-29,14748867550,1719521,1342,110260,domestic,0,major_domestic,0,2368826,drama,4,3,PG 12,1,9
마당을 나온 암탉,2011-07-28,14668226000,2201273,363,39224,domestic,0,major_domestic,0,2201273,animation,6,3,G_rated,2,7
강철비2: 정상회담,2020-07-29,14661646110,1791533,2137,106658,domestic,0,major_domestic,0,2639183,drama,4,3,PG 15,0,7
저스티스 리그,2017-11-15,14629677795,1786383,1308,73390,abroad,1,major_abroad,1,1631960,action,2,3,PG 12,1,11
노무현입니다,2017-05-25,14556517612,1855149,775,61327,domestic,0,etc_distributor,2,1855149,etc,1,1,PG 12,1,5
레지던트 이블 4: 끝나지 않은 전쟁 3D,2010-09-16,14533948000,1190008,337,37849,abroad,1,etc_distributor,2,845717,action,2,1,X_rated,3,9
남자가 사랑할 때,2014-01-22,14510222300,1979311,531,41123,domestic,0,major_domestic,0,1979311,drama,4,2,PG 15,0,1
페르시아의 왕자: 시간의 모래,2010-05-27,14483501000,1970823,567,51307,abroad,1,etc_distributor,2,1970823,action,2,3,PG 12,1,5
지.아이.조 2,2013-03-28,14457048500,1855917,766,62627,abroad,1,major_domestic,0,1875958,action,2,3,PG 15,0,3
샌 안드레아스,2015-06-03,14435844152,1716455,847,62016,abroad,1,major_abroad,1,1417198,action,2,3,PG 12,1,6
용의자,2013-12-24,14408028500,1954586,618,42310,domestic,0,major_domestic,0,1753320,drama,4,3,PG 12,1,12
토이 스토리 3,2010-08-05,14319338600,1458865,393,28615,abroad,1,etc_distributor,2,2484441,animation,6,3,G_rated,2,8
007 스펙터,2015-11-11,14301476030,1820760,1105,51940,abroad,1,major_abroad,1,1691307,action,2,3,PG 15,0,11
킬러의 보디가드,2017-08-30,14020395800,1721757,482,42002,abroad,1,etc_distributor,2,1056097,action,2,3,PG 15,0,8
콩: 스컬 아일랜드,2017-03-08,13990563383,1689717,984,56425,abroad,1,major_abroad,1,1689717,action,2,3,PG 12,1,3
삼진그룹 영어토익반,2020-10-21,13981414470,1571286,1615,139275,domestic,0,major_domestic,0,955734,drama,4,3,PG 12,1,10
악마를 보았다,2010-08-12,13919416500,1817063,490,42721,domestic,0,major_domestic,0,4658741,crime,5,2,X_rated,3,8
주먹왕 랄프 2: 인터넷 속으로,2019-01-03,13877029723,1754375,1453,56412,abroad,1,major_abroad,1,1027905,animation,6,3,G_rated,2,1
라스트 에어벤더,2010-08-19,13854892500,1371164,399,32416,abroad,1,major_domestic,0,1012844,fantasy,3,3,G_rated,2,8
해결사,2010-09-09,13844624000,1843404,525,59325,domestic,0,major_domestic,0,1843404,action,2,2,PG 15,0,9
쥬만지: 새로운 세계,2018-01-03,13814824864,1708672,791,41806,abroad,1,etc_distributor,2,1381817,action,2,3,PG 12,1,1
걸캅스,2019-05-09,13812802134,1629528,973,63163,domestic,0,major_domestic,0,1629528,comedy,0,2,PG 15,0,5
연애의 온도,2013-03-21,13798864446,1865195,567,57847,domestic,0,major_domestic,0,1240838,romance,10,2,X_rated,3,3
도굴,2020-11-04,13764680410,1523514,1635,133284,domestic,0,major_domestic,0,1523514,crime,5,3,PG 12,1,11
글러브,2011-01-20,13756104000,1887731,605,44725,domestic,0,major_domestic,0,1989220,drama,4,3,G_rated,2,1
아쿠아맨,2018-12-19,13659344323,1546297,1158,50500,abroad,1,major_abroad,1,1825151,action,2,3,PG 12,1,12
이미테이션 게임,2015-02-17,13655929120,1743963,541,44782,abroad,1,etc_distributor,2,1206269,drama,4,3,PG 15,0,2
23 아이덴티티,2017-02-22,13609648135,1675819,952,44104,abroad,1,major_abroad,1,1012844,fear,12,2,PG 15,0,2
아이들...,2011-02-17,13579712500,1867849,504,41515,domestic,0,major_domestic,0,1867849,crime,5,3,PG 15,0,2
쎄시봉,2015-02-05,13571515911,1715370,829,51744,domestic,0,major_domestic,0,2137558,romance,10,3,PG 15,0,2
나의 PS 파트너,2012-12-06,13548606616,1786831,552,37625,domestic,0,major_domestic,0,1363183,romance,10,2,X_rated,3,12
제보자,2014-10-02,13515762802,1755181,676,58358,domestic,0,etc_distributor,2,1294037,drama,4,3,PG 12,1,10
닥터 두리틀,2020-01-08,13449206760,1607082,1290,68634,abroad,1,major_abroad,1,1607082,comedy,0,1,G_rated,2,1
코리아,2012-05-03,13448848500,1872681,537,49679,domestic,0,major_domestic,0,1753842,drama,4,2,PG 12,1,5
300: 제국의 부활,2014-03-06,13395159700,1593116,720,54902,abroad,1,major_abroad,1,1593116,action,2,3,X_rated,3,3
창궐,2018-10-25,13275772490,1599290,1351,60687,domestic,0,major_domestic,0,4289071,action,2,2,PG 15,0,10
성난황소,2018-11-22,13236490737,1593386,1010,48932,domestic,0,major_domestic,0,1593386,crime,5,2,PG 15,0,11
분노의 질주: 더 맥시멈,2013-05-22,13210338042,1790916,657,44371,abroad,1,major_abroad,1,1523348,action,2,3,PG 15,0,5
러브픽션,2012-02-29,13200412500,1726202,617,44130,domestic,0,major_domestic,0,1726202,romance,10,2,PG 15,0,2
퍼시 잭슨과 번개 도둑,2010-02-11,13158158500,1846180,334,43667,abroad,1,etc_distributor,2,932025,fantasy,3,3,PG 12,1,2
터보,2013-07-25,13116737000,1924414,634,28783,abroad,1,major_domestic,0,1924414,animation,6,3,G_rated,2,7
스타트렉 다크니스,2013-05-30,12964828000,1605271,607,40504,abroad,1,major_domestic,0,1346973,action,2,3,PG 12,1,5
정직한 후보,2020-02-12,12854297030,1538038,1187,89425,domestic,0,major_domestic,0,1309893,comedy,0,3,PG 12,1,2
도어락,2018-12-05,12792097886,1559616,954,53732,domestic,0,etc_distributor,2,1559616,thriller,11,3,PG 15,0,12
전설의 주먹,2013-04-10,12777314500,1744585,724,57593,domestic,0,major_domestic,0,1989220,action,2,3,X_rated,3,4
인디펜던스 데이 : 리써전스,2016-06-22,12770879840,1500830,926,47432,abroad,1,etc_distributor,2,965055,action,2,3,PG 12,1,6
언터처블: 1%의 우정,2012-03-22,12735040000,1720472,454,48976,abroad,1,major_domestic,0,1720472,comedy,0,2,PG 12,1,3
평양성,2011-01-27,12684530500,1717566,483,41860,domestic,0,major_domestic,0,1424759,comedy,0,3,PG 12,1,1
임금님의 사건수첩,2017-04-26,12651193723,1635003,1054,53005,domestic,0,major_domestic,0,1753842,comedy,0,2,PG 12,1,4
어스,2019-03-27,12586771104,1475087,1132,58522,abroad,1,major_abroad,1,1475087,thriller,11,3,PG 15,0,3
마다가스카3 : 이번엔 서커스다!,2012-06-06,12521043500,1629799,564,34150,abroad,1,major_domestic,0,1571069,animation,6,3,G_rated,2,6
블랙 스완,2011-02-24,12484661500,1623310,344,46840,abroad,1,etc_distributor,2,1623310,fear,12,3,X_rated,3,2
엑소더스: 신들과 왕들,2014-12-03,12442681926,1511195,865,43742,abroad,1,etc_distributor,2,1263301,drama,4,2,PG 12,1,12
집으로 가는 길,2013-12-11,12373339745,1763231,740,39811,domestic,0,major_domestic,0,1763231,drama,4,2,PG 15,0,12
드래곤 길들이기 3,2019-01-30,12346432876,1507922,971,42407,abroad,1,major_abroad,1,2356796,animation,6,3,G_rated,2,1
공범,2013-10-24,12333110882,1766285,611,51425,domestic,0,major_domestic,0,1766285,etc,1,3,PG 15,0,10
더 폰,2015-10-22,12309164568,1593694,794,53599,domestic,0,major_domestic,0,1593694,action,2,3,PG 15,0,10
분노의 질주: 언리미티드,2011-04-20,12292868000,1621973,457,43329,abroad,1,major_abroad,1,1523348,action,2,3,PG 15,0,4
아이스 에이지 4: 대륙 이동설,2012-07-25,12291969704,1648110,501,26899,abroad,1,etc_distributor,2,1648110,animation,6,3,G_rated,2,7
두근두근 내 인생,2014-09-03,12291081634,1624601,629,40158,domestic,0,major_domestic,0,1624601,drama,4,3,PG 12,1,9
공모자들,2012-08-29,12240964500,1646142,496,44959,domestic,0,etc_distributor,2,959726,crime,5,3,X_rated,3,8
말레피센트 2,2019-10-17,12191395690,1444952,1108,63768,abroad,1,major_abroad,1,1964124,fantasy,3,3,PG 12,1,10
대호,2015-12-16,12104808332,1584168,892,39599,domestic,0,major_domestic,0,1584168,drama,4,3,X_rated,3,12
나의 특별한 형제,2019-05-01,12081618074,1478156,936,49927,domestic,0,major_domestic,0,1225293,drama,4,3,PG 12,1,5
그대를 사랑합니다,2011-02-17,12041827000,1645505,292,57869,domestic,0,major_domestic,0,1645505,drama,4,3,PG 15,0,2
차이나타운,2015-04-29,11990370378,1472106,551,45137,domestic,0,etc_distributor,2,1649509,crime,5,3,X_rated,3,4
램페이지,2018-04-12,11951980109,1385511,909,55295,abroad,1,major_abroad,1,1417198,action,2,3,PG 12,1,4
리틀 포레스트,2018-02-28,11929202185,1506269,884,68414,domestic,0,etc_distributor,2,1506269,drama,4,3,PG 12,1,2
파파로티,2013-03-14,11825934000,1716429,552,53601,domestic,0,major_domestic,0,1716429,drama,4,3,PG 15,0,3
부라더,2017-11-02,11783109998,1492903,889,54975,domestic,0,etc_distributor,2,1492903,drama,4,2,X_rated,3,11
하울링,2012-02-16,11765293500,1612554,550,44753,domestic,0,major_domestic,0,1902415,crime,5,2,PG 15,0,2
우아한 거짓말,2014-03-13,11728460300,1619188,573,57492,domestic,0,etc_distributor,2,3154621,drama,4,3,PG 12,1,3
신들의 전쟁,2011-11-10,11726682000,1338411,525,46169,abroad,1,major_domestic,0,1338411,action,2,3,X_rated,3,11
해무(海霧),2014-08-13,11706782519,1475507,584,33490,domestic,0,major_domestic,0,1475507,drama,4,3,X_rated,3,8
오션스8,2018-06-13,11700157266,1335829,837,55372,abroad,1,major_abroad,1,971892,action,2,3,PG 12,1,6
피끓는 청춘,2014-01-22,11688382888,1676040,679,36082,domestic,0,major_domestic,0,1676040,comedy,0,3,PG 15,0,1
무적자,2010-09-16,11629780500,1546132,412,46186,domestic,0,major_domestic,0,1343677,action,2,3,PG 15,0,9
로빈 후드,2010-05-13,11560588500,1570681,544,41953,abroad,1,major_abroad,1,1570681,action,2,3,PG 15,0,5
황해,2010-12-22,11524115000,1497242,618,23295,domestic,0,major_domestic,0,4188575,crime,5,3,X_rated,3,12
탐정 홍길동: 사라진 마을,2016-05-04,11516170845,1430885,764,41076,domestic,0,major_domestic,0,2833113,drama,4,2,PG 15,0,5
마다가스카의 펭귄,2014-12-31,11450482159,1512340,615,27171,abroad,1,major_domestic,0,1571069,animation,6,3,G_rated,2,12
골든슬럼버,2018-02-14,11412768798,1387508,833,42991,domestic,0,major_domestic,0,1387508,crime,5,3,PG 15,0,2
벤허,2016-09-14,11410860395,1400301,717,38941,abroad,1,major_domestic,0,872588,adventure,8,3,PG 12,1,9
인간중독,2014-05-14,11284912400,1441973,682,44057,domestic,0,major_domestic,0,2213728,drama,4,3,X_rated,3,5
용의자X,2012-10-18,11241013000,1552055,553,42989,domestic,0,major_domestic,0,1753320,drama,4,3,PG 12,1,10
오블리비언,2013-04-11,11165841500,1515356,634,47871,abroad,1,major_abroad,1,1515356,action,2,3,PG 15,0,4
가디언즈 오브 갤럭시,2014-07-31,11098239184,1311190,539,22417,abroad,1,major_abroad,1,1701053,action,2,3,PG 12,1,7
해피 데스데이,2017-11-08,11004455402,1382650,714,52101,abroad,1,major_abroad,1,1382650,fear,12,2,X_rated,3,11
오케이 마담,2020-08-12,10981600110,1228968,1288,82969,domestic,0,etc_distributor,2,1146205,comedy,0,3,PG 15,0,8
클로젯,2020-02-05,10971962280,1270835,1197,71453,domestic,0,major_domestic,0,1270835,mystery,9,3,PG 15,0,2
브이아이피,2017-08-23,10956621835,1373316,996,44650,domestic,0,major_abroad,1,3081633,crime,5,3,X_rated,3,8
나니아 연대기: 새벽 출정호의 항해,2010-12-08,10889884000,1140201,493,32481,abroad,1,etc_distributor,2,1140201,fantasy,3,3,G_rated,2,12
새미의 어드벤쳐 2,2012-08-01,10856204000,1457380,486,26436,abroad,1,major_domestic,0,725482,animation,6,3,G_rated,2,8
다이하드: 굿 데이 투 다이,2013-02-06,10825703000,1438056,459,33055,abroad,1,etc_distributor,2,1438056,action,2,3,PG 15,0,2
말레피센트,2014-05-29,10776965900,1397526,554,38894,abroad,1,major_abroad,1,1964124,fantasy,3,3,PG 12,1,5
에이리언: 커버넌트,2017-05-09,10745826264,1307226,841,41761,abroad,1,etc_distributor,2,1263301,sf,7,2,PG 15,0,5
사라진 밤,2018-03-07,10697981316,1315726,925,60087,domestic,0,etc_distributor,2,1315726,thriller,11,3,PG 15,0,3
브레이킹 던 part1,2011-11-30,10692564000,1459449,636,43060,abroad,1,major_domestic,0,1476866,drama,4,2,PG 15,0,11
기억의 밤,2017-11-29,10646654660,1386611,759,52847,domestic,0,etc_distributor,2,1386611,mystery,9,2,PG 15,0,11
드라큘라: 전설의 시작,2014-10-08,10607703908,1321751,477,46483,abroad,1,major_abroad,1,1321751,fantasy,3,3,PG 15,0,10
위대한 개츠비,2013-05-16,10581329643,1445248,562,36008,abroad,1,major_abroad,1,1445248,drama,4,3,PG 15,0,5
특별시민,2017-04-26,10494768945,1362634,1154,46377,domestic,0,major_domestic,0,896785,drama,4,3,PG 15,0,4
궁합,2018-02-28,10478875438,1340117,966,52427,domestic,0,major_domestic,0,1340117,comedy,0,2,PG 12,1,2
퓨리,2014-11-20,10367640686,1362114,590,37155,abroad,1,major_abroad,1,1362114,action,2,3,PG 12,1,11
장산범,2017-08-17,10341783083,1306438,711,34768,domestic,0,major_domestic,0,1306438,mystery,9,2,PG 15,0,8
퍼펙트맨,2019-10-02,10311352770,1240022,894,50055,domestic,0,major_domestic,0,1240022,comedy,0,2,PG 15,0,10
스윙키즈,2018-12-19,10308565602,1258811,984,32237,domestic,0,major_domestic,0,2637086,drama,4,3,PG 12,1,12
폼페이: 최후의 날,2014-02-20,10303127700,1373873,561,43288,abroad,1,major_domestic,0,845717,action,2,3,PG 15,0,2
구르믈 버서난 달처럼,2010-04-28,10241716500,1383867,506,48314,domestic,0,etc_distributor,2,1424759,drama,4,3,PG 15,0,4
유열의 음악앨범,2019-08-28,10233455040,1245532,1078,59626,domestic,0,etc_distributor,2,1295945,romance,10,2,PG 12,1,8
스타트렉 비욘드,2016-08-17,10190375820,1157156,716,38199,abroad,1,major_domestic,0,1523348,action,2,3,PG 12,1,8
라푼젤,2011-02-10,10161464800,1011163,328,22107,abroad,1,etc_distributor,2,1011163,animation,6,2,G_rated,2,2
해치지않아,2020-01-15,10154099090,1209689,1216,53441,domestic,0,etc_distributor,2,903270,comedy,0,3,PG 12,1,1
워크래프트: 전쟁의 서막,2016-06-09,10142271205,1163274,736,34087,abroad,1,major_abroad,1,1220482,action,2,3,PG 12,1,6
런닝맨,2013-04-04,10060239500,1422844,567,45995,domestic,0,etc_distributor,2,1422844,animation,6,3,G_rated,2,4
셜록: 유령신부,2016-01-02,9992425049,1278894,891,32683,abroad,1,etc_distributor,2,1278894,crime,5,2,PG 12,1,1
"힘을 내요, 미스터 리",2019-09-11,9930518906,1181960,990,41831,domestic,0,major_domestic,0,4078625,comedy,0,3,PG 12,1,9
특별수사: 사형수의 편지,2016-06-16,9929947065,1241899,691,39372,domestic,0,major_domestic,0,1241899,crime,5,3,PG 15,0,6
은교,2012-04-25,9918274444,1346359,521,41683,domestic,0,major_domestic,0,1295945,romance,10,3,X_rated,3,4
해빙,2017-03-01,9905406822,1204600,915,46227,domestic,0,major_domestic,0,1204600,thriller,11,3,PG 15,0,3
생일,2019-04-03,9885147340,1197565,878,71797,domestic,0,major_domestic,0,1197565,drama,4,2,G_rated,2,4
월드 인베이젼,2011-03-10,9799358000,1307873,441,44241,abroad,1,etc_distributor,2,1100450,action,2,3,PG 12,1,3
헬로우 고스트,2010-12-22,9796273500,1356230,472,22865,domestic,0,major_domestic,0,1262896,comedy,0,3,PG 12,1,12
바람 바람 바람,2018-04-05,9784385375,1194229,985,57939,domestic,0,major_domestic,0,6834886,comedy,0,3,X_rated,3,4
잃어버린 세계를 찾아서 2: 신비의 섬,2012-01-19,9784305000,1149628,398,27236,abroad,1,major_abroad,1,1417198,action,2,3,G_rated,2,1
굿 다이노,2016-01-07,9756167238,1328913,814,33127,abroad,1,major_abroad,1,1328913,animation,6,3,G_rated,2,1
차형사,2012-05-30,9752555296,1346754,433,39152,domestic,0,major_domestic,0,1346754,comedy,0,3,PG 15,0,5
악녀,2017-06-08,9739662144,1208081,685,46070,domestic,0,major_domestic,0,1968939,action,2,3,X_rated,3,6
시간이탈자,2016-04-13,9731838195,1202384,733,55075,domestic,0,major_domestic,0,1202384,thriller,11,3,PG 15,0,4
슈퍼 배드,2010-09-16,9717463000,1027050,338,24577,abroad,1,major_abroad,1,2175962,animation,6,3,G_rated,2,9
점박이:한반도의 공룡3D,2012-01-26,9681445500,1050852,457,22475,domestic,0,major_domestic,0,713082,animation,6,3,G_rated,2,1
소스 코드,2011-05-04,9640238500,1277690,403,38744,abroad,1,major_domestic,0,1220482,action,2,2,PG 12,1,5
챔피언,2018-05-01,9471138230,1128774,874,47320,domestic,0,major_abroad,1,1128774,drama,4,1,PG 15,0,5
간기남,2012-04-11,9356404500,1246185,396,38155,domestic,0,major_domestic,0,1182231,thriller,11,3,X_rated,3,4
미스터 고,2013-07-17,9337976000,1328888,840,38263,domestic,0,major_domestic,0,6491963,drama,4,2,PG 12,1,7
간첩,2012-09-20,9316548500,1310895,576,41726,domestic,0,major_domestic,0,2977866,drama,4,3,PG 15,0,9
항거:유관순 이야기,2019-02-27,9291455101,1157949,1094,46159,domestic,0,major_domestic,0,1157949,drama,4,3,PG 12,1,2
롱 리브 더 킹: 목포 영웅,2019-06-19,9228798910,1094404,965,38839,domestic,0,etc_distributor,2,1094404,action,2,3,PG 15,0,6
심야의 F.M.,2010-10-14,9179170500,1208306,423,50423,domestic,0,major_domestic,0,1208306,thriller,11,4,X_rated,3,10
찌라시: 위험한 소문,2014-02-20,9111748087,1221427,560,37426,domestic,0,major_domestic,0,2450084,drama,4,3,PG 15,0,2
메리다와 마법의 숲,2012-09-27,9024766000,1231024,479,22087,abroad,1,etc_distributor,2,1231024,animation,6,3,G_rated,2,9
엘리시움,2013-08-29,9017994500,1207732,588,31515,abroad,1,major_abroad,1,890696,sf,7,3,X_rated,3,8
"당신, 거기 있어줄래요",2016-12-14,8999085248,1124815,767,39181,domestic,0,major_domestic,0,1168829,fantasy,3,3,PG 12,1,12
장사리 : 잊혀진 영웅들,2019-09-25,8997921050,1140876,1090,47821,domestic,0,major_abroad,1,1917958,etc,1,3,PG 12,1,9
퍼시픽 림: 업라이징,2018-03-21,8962712795,1077235,1145,49600,abroad,1,major_abroad,1,1808174,action,2,2,PG 15,0,3
토탈 리콜,2012-08-15,8958236000,1219637,448,27089,abroad,1,etc_distributor,2,1219637,action,2,3,PG 15,0,8
빅매치,2014-11-27,8952096578,1177438,627,38527,domestic,0,major_domestic,0,1177438,action,2,3,PG 15,0,11
간신,2015-05-21,8946842910,1110246,697,40580,domestic,0,major_domestic,0,1590719,drama,4,3,X_rated,3,5
