영화명,개봉일,매출액,관객수,스크린수,상영횟수,국적,배급사
극한직업,2019.1.23,"139,651,845,516","16,265,618","2,003","292,584",한국,(주)씨제이이엔엠
어벤져스: 엔드게임,2019.4.24,"122,182,694,160","13,934,592","2,835","242,001",미국,월트디즈니컴퍼니코리아 유한책임회사
겨울왕국 2,2019.11.21,"111,596,248,720","13,369,064","2,648","282,557",미국,월트디즈니컴퍼니코리아 유한책임회사
알라딘,2019.5.23,"106,955,138,359","12,552,283","1,409","266,469",미국,월트디즈니컴퍼니코리아 유한책임회사
기생충,2019.5.30,"85,883,963,645","10,085,275","1,948","192,855",한국,(주)씨제이이엔엠
엑시트,2019.7.31,"79,232,012,162","9,426,011","1,660","202,223",한국,(주)씨제이이엔엠
스파이더맨: 파 프롬 홈,2019.7.2,"69,010,000,100","8,021,145","2,142","180,474",미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
백두산,2019.12.19,"52,905,789,770","6,290,502","1,971","99,915",한국,"(주)씨제이이엔엠,(주)덱스터스튜디오"
캡틴 마블,2019.3.6,"51,507,488,723","5,802,810","2,100","186,382",미국,월트디즈니컴퍼니코리아 유한책임회사
조커,2019.10.2,"45,381,075,450","5,247,874","1,418","147,380",미국,워너브러더스 코리아(주)
봉오동 전투,2019.8.7,"40,588,648,538","4,787,538","1,476","107,030",한국,(주)쇼박스
라이온 킹,2019.7.17,"41,519,457,430","4,743,264","1,936","126,496",미국,월트디즈니컴퍼니코리아 유한책임회사
나쁜 녀석들: 더 무비,2019.9.11,"39,560,195,124","4,573,902","1,511","113,938",한국,(주)씨제이이엔엠
82년생 김지영,2019.10.23,"30,298,542,310","3,678,156","1,486","145,441",한국,롯데컬처웍스(주)롯데엔터테인먼트
분노의 질주: 홉스&쇼,2019.8.14,"32,241,767,793","3,657,536","1,311","94,896",미국,유니버설픽쳐스인터내셔널 코리아(유)
토이 스토리 4,2019.6.20,"28,758,452,040","3,400,034","1,336","85,875",미국,월트디즈니컴퍼니코리아 유한책임회사
돈,2019.3.20,"28,870,244,062","3,389,125","1,431","120,809",한국,(주)쇼박스
악인전,2019.5.15,"29,133,760,150","3,364,712","1,307","97,351",한국,"(주)에이스메이커무비웍스,(주)키위미디어그룹"
가장 보통의 연애,2019.10.2,"24,885,803,430","2,924,563","1,073","111,527",한국,(주)넥스트엔터테인먼트월드(NEW)
말모이,2019.1.9,"23,685,091,520","2,812,877","1,203","87,591",한국,롯데컬처웍스(주)롯데엔터테인먼트
증인,2019.2.13,"20,482,789,331","2,534,748","1,047","89,564",한국,롯데컬처웍스(주)롯데엔터테인먼트
시동,2019.12.18,"21,236,477,800","2,525,986","1,515","58,603",한국,(주)넥스트엔터테인먼트월드(NEW)
블랙머니,2019.11.13,"20,863,134,010","2,478,964","1,141","77,469",한국,(주)에이스메이커무비웍스
터미네이터: 다크 페이트,2019.10.30,"20,153,895,830","2,409,062","1,315","81,336",미국,월트디즈니컴퍼니코리아 유한책임회사
사바하,2019.2.20,"20,007,508,194","2,398,519","1,174","78,096",한국,(주)씨제이이엔엠
타짜: 원 아이드 잭,2019.9.11,"19,687,029,214","2,229,239","1,429","66,479",한국,롯데컬처웍스(주)롯데엔터테인먼트
신의 한 수: 귀수편,2019.11.7,"18,463,776,050","2,157,437","1,246","82,178",한국,(주)씨제이이엔엠
알리타: 배틀 엔젤,2019.2.5,"18,571,455,667","1,952,063","1,043","52,666",미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
내안의 그놈,2019.1.9,"16,302,228,567","1,902,828","1,041","61,683",한국,"(주)메리크리스마스,TCO(주)더콘텐츠온"
뺑반,2019.1.30,"15,224,305,848","1,826,912","1,285","47,215",한국,(주)쇼박스
변신,2019.8.21,"15,417,922,925","1,804,112",975,"63,211",한국,(주)에이스메이커무비웍스
주먹왕 랄프 2: 인터넷 속으로,2019.1.3,"13,877,029,723","1,754,375","1,453","56,412",미국,월트디즈니컴퍼니코리아 유한책임회사
걸캅스,2019.5.9,"13,812,802,134","1,629,528",973,"63,163",한국,(주)씨제이이엔엠
사자,2019.7.31,"12,931,566,145","1,611,163","1,405","47,683",한국,롯데컬처웍스(주)롯데엔터테인먼트
아쿠아맨,2018.12.19,"13,659,344,323","1,546,297","1,158","50,500","미국,호주",워너브러더스 코리아(주)
드래곤 길들이기 3,2019.1.30,"12,346,432,876","1,507,922",971,"42,407",미국,유니버설픽쳐스인터내셔널 코리아(유)
나의 특별한 형제,2019.5.1,"12,081,618,074","1,478,156",936,"49,927",한국,(주)넥스트엔터테인먼트월드(NEW)
어스,2019.3.27,"12,586,771,104","1,475,087","1,132","58,522",미국,유니버설픽쳐스인터내셔널 코리아(유)
말레피센트 2,2019.10.17,"12,191,395,690","1,444,952","1,108","63,768",미국,월트디즈니컴퍼니코리아 유한책임회사
유열의 음악앨범,2019.8.28,"10,233,455,040","1,245,532","1,078","59,626",한국,CGV아트하우스
퍼펙트맨,2019.10.2,"10,311,352,770","1,240,022",894,"50,055",한국,(주)쇼박스
포드 V 페라리,2019.12.4,"10,612,013,680","1,208,407",986,"40,175",미국,월트디즈니컴퍼니코리아 유한책임회사
생일,2019.4.3,"9,885,147,340","1,197,565",878,"71,797",한국,(주)넥스트엔터테인먼트월드(NEW)
"힘을 내요, 미스터 리",2019.9.11,"9,930,518,906","1,181,960",990,"41,831",한국,(주)넥스트엔터테인먼트월드(NEW)
항거:유관순 이야기,2019.2.27,"9,291,455,101","1,157,949","1,094","46,159",한국,롯데컬처웍스(주)롯데엔터테인먼트
장사리 : 잊혀진 영웅들,2019.9.25,"8,997,921,050","1,140,876","1,090","47,821",한국,워너브러더스 코리아(주)
마이펫의 이중생활 2,2019.7.31,"8,512,902,825","1,114,949",933,"30,858",미국,유니버설픽쳐스인터내셔널 코리아(유)
롱 리브 더 킹: 목포 영웅,2019.6.19,"9,228,798,910","1,094,404",965,"38,839",한국,"메가박스중앙(주)플러스엠,(주)콘텐츠 난다긴다"
쥬만지: 넥스트 레벨,2019.12.11,"8,774,663,410","1,054,963","1,195","42,083",미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
존 윅 3: 파라벨룸,2019.6.26,"8,205,015,858","1,004,365",849,"29,819",미국,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
천문: 하늘에 묻는다,2019.12.26,"7,808,242,950","965,624","1,198","25,734",한국,롯데컬처웍스(주)롯데엔터테인먼트
나랏말싸미,2019.7.24,"7,871,240,823","958,775","1,211","39,206",한국,메가박스중앙(주)플러스엠
엑스맨: 다크 피닉스,2019.6.5,"7,649,216,640","862,744",991,"29,386",미국,이십세기폭스코리아(주)
맨 인 블랙: 인터내셔널,2019.6.12,"7,464,209,570","851,917","1,151","40,520",미국,롯데컬처웍스(주)롯데엔터테인먼트
레드슈즈,2019.7.25,"6,103,833,190","817,729",717,"20,376",한국,(주)넥스트엔터테인먼트월드(NEW)
뽀로로 극장판 보물섬 대모험,2019.4.25,"5,886,383,900","766,843",797,"20,075",한국,(주)넥스트엔터테인먼트월드(NEW)
캣츠,2019.12.24,"6,093,167,690","728,328","1,143","22,732","미국,영국",유니버설픽쳐스인터내셔널 코리아(유)
보헤미안 랩소디,2018.10.31,"6,270,535,440","723,804",732,"27,689",미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
명탐정 피카츄,2019.5.9,"5,730,788,546","686,809",817,"25,776",미국,워너브러더스 코리아(주)
신비아파트 극장판 하늘도깨비 대 요르문간드,2019.12.19,"5,299,942,440","672,122",841,"13,762",한국,(주)씨제이이엔엠
나이브스 아웃,2019.12.4,"5,648,860,210","667,411",686,"24,205",미국,(주)올스타엔터테인먼트
샤잠!,2019.4.3,"5,743,398,797","657,294","1,148","45,003",미국,워너브러더스 코리아(주)
날씨의 아이,2019.10.30,"5,413,288,410","655,876",716,"28,802",일본,"메가박스중앙(주)플러스엠,(주)미디어캐슬,워터홀컴퍼니(주)"
나를 찾아줘,2019.11.27,"5,117,014,620","645,082",875,"29,475",한국,워너브러더스 코리아(주)
광대들: 풍문조작단,2019.8.21,"5,228,976,088","637,461",806,"29,048",한국,워너브러더스 코리아(주)
그것: 두 번째 이야기,2019.9.4,"5,112,010,367","591,346",999,"25,622",미국,워너브러더스 코리아(주)
극장판 헬로카봇 : 달나라를 구해줘!,2019.9.4,"4,579,618,150","590,413",889,"20,852",한국,롯데컬처웍스(주)롯데엔터테인먼트
극장판 헬로카봇: 옴파로스 섬의 비밀,2019.1.31,"4,485,953,140","575,362",752,"15,827",한국,(주)넥스트엔터테인먼트월드(NEW)
이스케이프 룸,2019.3.14,"5,007,420,664","563,114",850,"29,219",미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
양자물리학,2019.9.25,"4,536,436,380","554,939",799,"25,296",한국,(주)메리크리스마스
애드 아스트라,2019.9.19,"4,518,393,460","513,375",853,"27,816",미국,이십세기폭스코리아(주)
47미터 2,2019.8.28,"3,846,315,153","501,934",649,"24,027",미국,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹"
PMC: 더 벙커,2018.12.26,"4,320,591,057","492,517",893,"23,116",한국,(주)씨제이이엔엠
애나벨 집으로,2019.6.26,"3,993,147,140","481,766",653,"16,619",미국,워너브러더스 코리아(주)
감쪽같은 그녀,2019.12.4,"3,594,862,790","469,296",761,"24,843",한국,메가박스중앙(주)플러스엠
글래스,2019.1.17,"4,277,452,982","466,475",837,"24,194",미국,월트디즈니컴퍼니코리아 유한책임회사
그린 북,2019.1.9,"3,631,254,060","434,899",398,"18,244",미국,CGV아트하우스
장난스런 키스,2019.3.27,"3,501,463,050","428,009",532,"20,458",대만,"오드,(주)홈초이스"
해피 데스데이 2 유,2019.2.14,"3,437,809,200","412,850",657,"18,254",미국,유니버설픽쳐스인터내셔널 코리아(유)
극장판 공룡메카드: 타이니소어의 섬,2019.1.10,"3,140,220,420","410,132",763,"15,121",한국,(주)넥스트엔터테인먼트월드(NEW)
범블비,2018.12.25,"3,334,865,955","394,493",766,"18,199",미국,롯데컬처웍스(주)롯데엔터테인먼트
제미니 맨,2019.10.9,"3,295,969,230","387,342",845,"26,044",미국,롯데컬처웍스(주)롯데엔터테인먼트
고질라: 킹 오브 몬스터,2019.5.29,"3,085,036,318","359,041",923,"15,867",미국,워너브러더스 코리아(주)
덤보,2019.3.27,"2,775,096,512","345,521",797,"17,627",미국,월트디즈니컴퍼니코리아 유한책임회사
러브 유어셀프 인 서울,2019.1.26,"3,209,682,900","342,366",224,"4,535",한국,씨제이 씨지브이(CJ CGV)(주)
브링 더 소울 : 더 무비,2019.8.7,"2,902,500,310","336,074",569,"10,199",한국,"CGV ICECON,월트디즈니컴퍼니코리아 유한책임회사"
아담스 패밀리,2019.11.7,"2,636,891,140","329,955",802,"11,242","미국,영국,캐나다",유니버설픽쳐스인터내셔널 코리아(유)
헬보이,2019.4.10,"2,777,106,321","323,198",726,"26,507",미국,메가박스중앙(주)플러스엠
예스터데이,2019.9.18,"2,580,213,100","306,332",816,"23,340","미국,영국",유니버설픽쳐스인터내셔널 코리아(유)
천로역정: 천국을 찾아서,2019.6.13,"2,202,838,010","296,588",381,"8,329",미국,"(재)CBS,주식회사 마운틴픽쳐스"
미성년,2019.4.11,"2,494,615,950","293,352",673,"27,314",한국,(주)쇼박스
배심원들,2019.5.15,"2,306,806,090","288,579",784,"20,271",한국,CGV아트하우스
기방도령,2019.7.10,"2,330,230,190","287,053",625,"16,652",한국,판씨네마(주)
신데렐라:마법 반지의 비밀,2019.2.20,"2,114,475,240","284,922",575,"9,977",미국,예지림엔터테인먼트
원스 어폰 어 타임... 인 할리우드,2019.9.25,"2,269,807,670","277,319",678,"15,147",미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
기묘한 가족,2019.2.13,"2,121,514,275","263,598",625,"15,314",한국,메가박스중앙(주)플러스엠
악질경찰,2019.3.20,"2,256,615,278","262,233",833,"22,785",한국,워너브러더스 코리아(주)
라스트 크리스마스,2019.12.5,"2,058,391,130","249,323",623,"14,580",미국,유니버설픽쳐스인터내셔널 코리아(유)
